product_code,naics_code,raw_annotations,product_text
B01F7AW9MO,311821,"['311821', '311822', '311822', '311821', '311821', '311822', '311822', '311821']","Hail Merry Chocolate Chip Cookie Dough Macaroon 35 oz

Country of origin is United States
Item Package Length 57cm
Item Package Width 91cm
Item Package Height 201cm
"
B01LY5ZSPH,339913,"['339913', '311340', '339914', '-1', '0', '339913', '339913', '311340', '339914', '-1', '0', '339913']","90 Cake Topper  Gold Premium Metal Number 90 Birthday Gold Rhinestone Gem Cake Topper Perfect 90th Bday Party Keepsake and Decoration Sparkling Bling Makes a Great Centerpiece





"
B000WO434S,325998,"['325998', '325998', '325191', '325998', '325998', '311920']","NielsenMassey Pure Orange Extract with Gift box 4 ounces

NielsenMassey Pure Orange Extract is bright sunny and refreshing made from the finest oranges
Our Pure Orange Extract delivers fresh citrus flavor perfect for sweet and savory dishes
Ingredients Alcohol 90 Natural Oil of Orange Water
Ingredients Alcohol 90 Natural Oil of Orange Water
½ tsp Orange Extract  2 Tbs Fresh Orange Juice 1 tsp Orange Extract  1 tsp Orange Zest"
B075R61D2B,0,"['325998', '0', '311313', '311340', '0']","Nature Made Energy B12 1000 mcg Gummies 80 Count for Metabolic Health

For a limited time you may receive either bottle while we update our packaging Both have the same great product inside Based on new FDA regulations you may also notice a change in the unit of measure andor daily value for certain products
Contains a 40day supply of Nature Made Energy B12 Gummies 80 gummies per bottle
Helps convert food into cellular energy
Adults chew 2 gummies daily
These statements have not been evaluated by the Food and Drug Administration This product is not intended to diagnose treat cure or prevent any disease"
B00HES9CMS,311320,"['-1', '311340', '0', '311320', '311320']","Viva Naturals 1 Best Selling Certified Organic Cacao Powder from Superior Criollo Beans 1 LB Bag

GUILTFREE CHOCOLATE EXPERIENCE  cacao powder offers a rich taste and bold chocolate flavor without the unwanted sugars and additives commonly found in processed treats Bake healthy yet delicious brownies cookies and chocolate cake using our high quality cacao
HIGHLY PRIZED CRIOLLO BEANS  Viva Naturals Cacao Powder is derived from prized Criollo cacao beans revered as the highest quality variations of cacao lacking traditional bitterness and offering exquisite chocolate taste
UPLIFTS MOOD AND ELEVATES ENERGY  add cacao to your favorite cup of java for a morning pickmeup and an immediate boost of energy Transform ordinary smoothies and shakes into chocolate wonder with heavenly cacao
PACKED WITH POWERFUL COMPOUNDS  the antioxidants in cacao offer cellular defense against the effects of free radicals improving the look of skin and promoting cellular repair and rejuvenation
UNREFINED NONGMO AND CERTIFIED ORGANIC  unlike traditional cocoa Viva Naturals Cacao Powder is unprocessed retaining important nutrients like magnesium calcium iron fiber and protein"
B06XJMMBHC,0,"['0', '-1', '339999', '0', '311340']","Betty Crocker Fruit Snacks PokemonFruit Flavored Snacks Pouches 20 ct

No Artificial Flavors
No Colors from Artificial Sources
Natural Flavors
Excellent Source of Vitamin C
80 Calories"
B008L1FO1K,312130,"['312130', '312130', '312140', '312140', '-1']","Fee Brothers Whiskey BarrelAged Bitters 5oz
Add these limited edition bitters to your next cocktail Fee Brothers uses emptied oak whiskey barrels from Tennessee to age these aromatic bitters Taste the difference of barrelaged bitters This premium bitters is strictly limited edition bottled only once a year in the spring Size 5 fl oz
Ships in Certified FrustrationFree Packaging
Limited edition aromatic bitters aged in Whiskey barrels
Unique flavor combination to enhance your cocktails
5 oz in glass bottle
Made by Fee Brothers of Rochester New York"
B074H6R5CH,311822,"['311412', '311822', '311999', '311822', '311514']","365 by Whole Foods Market Organic Pancake  Waffle Mix Buttermilk 32 Ounce

Brought to you by Whole Foods Market  The packaging for this product has a fresh new look During this transition you may get the original packaging or the new packaging in your order but the product and quality is staying exactly the same Enjoy
Product of USA
Certified Organic Certified GMOFree Certified Kosher Vegan

"
B000I5UZ7K,311320,"['311320', '311330', '333294', '311320', '311320']","Sagra Dark Chocolate Fondue 35 lbs
Sagra Dark Fountain Chocolate Fondue is made specifically for chocolate fountains with careful detail to flavor aroma and achieving the perfect flow in all chocolate fountains Our dark fountain chocolate is 100 natural delicious chocolate fondue made in the BelgianStyle with the finest imported cocoa beans from the lush growing areas of Africa and Venezuela SF Signature Dark Fountain Chocolate Fondue is our bestselling fountain chocolate as it offers the perfect blend of rich dark chocolate flavor with a sweet delicate finish SF Signature Dark Fountain Chocolate Fondue works great in commercial and home chocolate fountains fondue pots baked goods and anywhere else a high quality chocolate is needed All you have to do is microwave the bags and pour into your fountain or melt in the base of your chocolate fountain  its as easy as that It is preferred among many hotels casinos and caterers who need a chocolate that works every time and that offers superb flavor to even the most discerning of customers
Dark Chocolate
Fountain Chocolate


"
B00H3TPI1M,311930,"['311930', '311513', '311930', '311513', '311930']","Welchs Natural Spread Concord Grape 27oz





"
B08PFWQJM4,335212,"['335212', '335212', '325612', '335212', '325612']","Bona HardSurface Floor Cleaner

Readytouse just spray and mop No mixing or bucket required
Waterbased cleaning formula dries fast is residuefree and safe for people pets and the planet
GREENGUARD GOLD certified for very low VOC emissions
Formulated for linoleum stone terrazzo vinyl sealed porous marble laminate LVTLVP and nowax sealed tile ceramic Mexican Saltillo quarry
"
B000RYCCMS,311111,"['311119', '311111', '311111', '311111', '311111']","Friskies Chicken Dinner in Gravy Meaty Bits 55 Oz

Sliced not pureed
Helps Maintain Urinary Tract Health By
Reducing Urinary Ph
Low Magnesium
For Adult Cats"
B076HP86MT,112990,"['112990', '-1', '112990', '311111', '311111']","Zukes Hip Action Dog Treats Chicken
Whether its a morning walk or a weekend hike your dogs favorite times are those spent exploring with you Designed to fuel those adventures and keep the good times going strong every tasty Zukes Hip Action hip and joint dog treat contains 300mg of glucosamine and 50mg of chondroitin to support your dogs mobility plus egg shell membrane in a soft and chewy dog treat crafted to help support joint health These natural dog treats are crafted in the USA using the Earths best ingredients like chicken beef peanut butter and antioxidantrich wholefood berries plus vitamins and minerals Hip Action contains NO corn wheat or soy
Zukes Hip Action hip  joint dog treats feature 300mg of glucosamine and 50mg of chondroitin per tender tasty treat
These natural dog treats contain egg shell membrane to support joint health
With real chicken as the 1 ingredient these soft and chewy dog treats also feature nutrientrich cherries turmeric and sesame seeds
No corn no wheat no soy No artificial colors or flavors
Crafted in the USA using the earths best ingredients"
B07NSR6DGX,311312,"['311313', '311312', '-1', '311312', '325199']","365 Everyday Value Organic Instant Oatmeal Maple  Brown Sugar 113oz 8 ct

Brought to you by Whole Foods Market Our standards are what set us apart and our quality is what keeps us Stocking pantries fridges and freezers with the best natural and organic 365 Everyday Value products every day
Naturally flavored
Good source of fiber
Low fat Low sodium
Certified Organic certified Kosher Certified Vegetarian"
B07X3YB54R,311514,"['311514', '311514', '311412', '-1', '311514']","Dream Whip Whipped Dessert Topping Mix 26Ounce Box Pack of 2 with By The Cup Mood Spoons
bThe Perfect Dessert Starts Here bbr 2  26 ounce boxes of Dream Whip Whipped Dessert Topping MixbrFun By The Cup Color Changing Mood SpoonsbrSpoons change color when they get colder and revert to their original color when they become warm againbrDream Whip Whipped Topping Mix is a quick and easy to make powdered whipped topping mix Each envelope makes 2 cups of dessert topping Use it as a dip for your favorite fruits a filling for a pie or a fluffy frosting for a cake
2  26 oz boxes Dream Whip Whipped Dessert Topping Mix
By The Cup Color Changing Mood Spoons Color changes when spoon gets colder reverts to original color when warm again
Low calorie Fatfree Kosher
Quick and easy to make Adds sweet flavor and creamy texture to desserts
Perfect for mixing with pudding to create pie filling or fluffy frosting"
B00WRQ61N0,311320,"['311320', '311320', '311514', '311320', '0']","Walden Farms Coffee Creamer Original and French Vanilla Pack of 2
Walden Farms Calorie Free Coffee Creamers are made with natural vanilla flavor real chocolate from premium natural cocoa beans natural cream flavor and natural hazelnut flavor Rich natural flavors make all Walden Farms Coffee Creamers taste incredibly delicious Great in coffee smoothies iced coffee milk and more Switch to Walden Farms Calorie Free Creamers and save hundreds of calories every day
Calorie Free Fat Free
Carb Free Sugar Free
Dairy Free
Gluten Free Vegan
"
B08PFTGCGZ,311320,"['311320', '311821', '311330', '311330', '311320']","Ferrero Rocher Fine Hazelnut Milk Chocolate 24 Count Chocolate Valentines Day Candy Gift Box 105 oz

24 delicious Ferrero Rocher chocolate candies presented in an impressive transparent gift box the perfect Valentines Day or Chinese New Year gift for him or her
A tempting combination of smooth chocolaty cream surrounding a whole hazelnut within a delicate crisp wafer all enveloped in milk chocolate and finely chopped hazelnuts
A deliciously elegant confection wrapped in glittery gold foil loved gifted and appreciated all over the world
Certified Kosher OUDairy
Peanut Free"
B07XYR1N7K,339932,"['337121', '337122', '339932', '339931', '337122', '339932', '339932']","Russian Nesting Dolls 6 Traditional Matryoshka Classic Semyonov Yellow Style  Babushka Wooden Doll Gift Toy Hand Made in Russia  Semyonov Yellow 6 Piece 5 inches
pstrongMatryoshka dollsstrong also known as Russian nesting dolls are a set of several wooden dolls of decreasing sizes that one by one fit inside of each other Each stacking doll splits in half at the mid section and opens to reveal another smaller doll nested within The traditional Matryoshka doll is usually round in shape and decoratively painted to resemble a pretty young faced peasant woman dressed or bundled up in an extravagant sarafan costume a loose fitting traditional Russian garmentp pThe name matryoshka literally means little matron it comes from the Latin word for mother The dolls often follow a theme these themes may vary from Russian fairy tale characters to Soviet leaders In the west Matryoshka dolls are often erroneously referred to as babushka which means grandmother or old womanp pThe first Russian nesting doll set was carved in 1890 at the Childrens Education Workshop which purpose was to make and sell childrens toys The set consisted of 8 dolls where the outermost was a mother in a traditional dress holding a redcombed rooster The inner dolls were her children five girls and a boy and the innermost a baby The Childrens Education Workshop was closed in the late 1890s but the tradition of the matryoshka simply relocated to Semyonovp p p
Traditional Russian nesting dolls are beautiful decoration items loved by kids and adults for the playfulness of opening and inserting one doll inside the next
AGES 3 SIZE Largest doll is 7 inches 18 cm tall and 34 inches 85 cm wide SET of 7 dolls
STYLE Semyonov is the classic Russian matryoshka design its most distinctive feature is a bright bouquet of flowers it makes these stacking dolls easy to recognize
HANDMADE these dolls are handcrafted and handpainted which makes each item unique you will appreciate small variations on each item
AUTHENTIC Russian dolls handmade in Semyonov from wood of Birch and Tilia trees covered with varnish"
B00IUU15GA,325611,"['325611', '325611', '311340', '-1', '339114', '325611']","Orajel PAW Patrol Anticavity Fluoride Toothpaste Bubble Berry Flavor Kids Toothpaste 42oz Tube

CAVITY PROTECTION Orajel Fluoride toothpaste helps to clean and protect your childs teeth from cavities when used as directed
HEALTHY MOUTH Our formula helps to prevent against tooth decay strengthens and protects teeth and helps to keep teeth and gums healthy
GREAT TASTE Featuring Bubble Berry flavor Orajel toothpaste tastes great which can help your child transition from nonfluoride to fluoride paste with ease
PAW PATROL Help your little one to brush regularly by partnering with the pals from PAW Patrol
For best use brush teeth after meals or twice a day"
B07PNRRJ57,311920,"['311920', '311920', '311330', '311320', '311920']","SToK Caffeinated Black Unsweetened Cold Brew Coffee Shots Unsweetened 264 ct
STOK Caffeinated Cold Brew Coffee Shots delivers 40 Mg of caffeine per serving which is equivalent to a shot of espresso Its a 13 mL Black Coffee Shot that puts more caffeine in your coffee Comes in a creamerlike container for portion control Limit to 2 servings per day Not for use by children under age 18 pregnant women or the caffeinesensitive This is the ideal convenience pack Buy these 100 shots and use them with up to 2 cups of coffee a day Amazingly enough these are delicious in some beers Actual product packaging and materials may vary
SToK caffeinated unsweetened black coffee shots Exactly as pictured
Each shot is equivalent to one shot of espresso
Shelf stable so no refrigeration is needed
No refrigeration needed
Product of the USA"
B0731SRGYS,311513,"['311513', '311513', '311513', '311513']","PURE Sodium Propionate Powder 8 oz Food Safe Mold Inhibitor Food Preservative
bPure Sodium Propionateb is a Food Safe White Powder Used to Inhibit the Growth of Mold and Bacteria It is Commonly Used as a Food Preservative in Baked Goods and Processed Cheese Productsbrbr BOUR SODIUM PROPIONATEBbr i HIGH QUALITY  Food Grade Sodium Propionatebr ii NATURAL  No Additives Fillers or Unnecessary Chemicalsbr iii BEST PRICE  Low Price Competitors Just Cant Beatbr iv ECOFRIENDLY PACKAGING  Come in Natural Kraft Paper Bagsbr v MONEY BACK GUARANTEE  Not Satisfied Return it for a Full Refundbrbr BCommon UsesBbr i Preserve  Extend Shelf Life of Certain Foodsbr ii Inhibit Mold  Bacteria Growthbr iii Prevent Spoilage of Baked Goods  Processed Cheese Productsbr iv Added to Animal Feed to Prevent Bacteria Growthbrbr BRecommended UseB Use in small quantities as a food preservative to inhibit the growth of mold and bacteria in baked goods and processed cheese productsbrbr BIngredientsB Sodium Propionatebrbr b100 MONEY BACK GUARANTEEb We are confident that youll love our products and stand behind every item with a 100 satisfaction guarantee If you are not satisfied with your purchase return the product for a full refundbr
FOOD PRESERVATIVE  MOLD INHIBITOR
INHIBITS THE GROWTH OF MOLD  SOME TYPES OF BACTERIA
ESPECIALLY EFFECTIVE IN BAKED GOODS PROCESSED CHEESE AND OTHER PRODUCTS THAT ARE SUSCEPTIBLE TO SPOILAGE
ACCORDING TO THE CODE OF FEDERAL REGULATIONS SODIUM PROPIONATE IS GENERALLY RECOGNIZED AS SAFE WHEN USED AS A FOOD ADDITIVE
MONEY BACK GUARANTEE We are confident that youll love our products and stand behind every item with a 100 satisfaction guarantee If you are not satisfied with your purchase return the product for a full refund"
B005GPJCHQ,331315,"['322223', '331315', '331315', '322221', '322221']","Reynolds Wrap Aluminum Foil 30 sq ft

This package contains Reynolds Wrap aluminum foil roll measuring 30 feet long by 12 inches wide 30 square feet total
Aluminum foil wrap offers a durable way to protect pans simplify cleanup and wrap leftovers
Use as a tent over roasted meats pan liners for baking or a foil packet to infuse holiday dishes with flavor
Standard cutting edge built into the box lets you get even cuts for perfectly sized aluminum foil sheets without rips
The No 1 brand of aluminum foil made in the USA Reynolds Wrap has the trusted strength and quality you can count on for cooking delicious meals with easy cleanup"
B081XYSWLR,311313,"['311313', '311313', '-1', '0', '311313']","Organic Stevia In The Raw 2257 Ounce

Non Gmo
Organic
Organic Cane Sugar Blend

"
B01C3XHQXK,335224,"['335224', '-1', '335224', '333312', '333312']","Gain Flings Tropical Sunrise Laundry Detergent Packs 35 Count

Everything you love about gain is even better  and smaller  with the new gain flings With 50 more gain scent the stainfighting power of Oxi boost and the odorfighting freshness of Febreze were giving you a whole lot more of gain to love
Gain tropical sunrise smells like a chillaxing island getaway on a palmdotted beach Ahhh soak it in
Enjoy the matching gain tropical sunrise scent in gain flings unitdose laundry detergent and gain fireworks  were giving you a whole lot more of gain to love
Love the scent or your money back
Laundry detergent that smells so great and is so simple to use it makes doing laundry almost exciting"
B0054PMP86,311320,"['311320', '311511', '311330', '311514', '311340', '311320', '311330', '311320', '311330', '311511']","Ovaltine Nutritional Drink Rich Chocolate 112 lb
Rich Chocolate Ovaltine is quickly becoming a family tradition in homes across America The creamy texture and rich chocolate flavor really gets the kids running to the kitchen
Ovaltine Rich Chocolate
Good source of 12 vitamins and minerals
Ovaltine and milk contain 20 of the daily value of vitamin A
No artificial flavors
"
B089P3CKXC,311822,"['311822', '311822', '311821', '311821', '311999']","Birch Benders Griddle Cakes Pancake Waffle Mix Keto 10 Ounce

Pancake and Waffles Mix
The package dimension of the product is 81L x 5W x 23H
Allergen information abalone_free
Number of items 1
"
